95.55,87.42
85.21,90.62
83.56,89.38
94.85,91.02
94.99,88.51
95.53,85.74
84.29,89.19
95.68,91.32
73.5,88.48
84.09,89.45
72.05,91.21
83.58,91.62
84.6,87.8
84.36,89.19
83.3,92.61
73.04,90.99
84.49,85.96
94.97,94.64
73.67,88.15
96.75,87.9
95.62,85.73
72.87,89.67
83.65,89.69
71.14,89.03
75.11,87.48
93.3,85.02
73.3,99.04
82.88,94.5
72.43,88.92
83.52,89.66
72.34,91.08
94.72,89.96
95.12,88.29
72.34,92.8
73.02,86.59
71.41,95.87
74.6,84.71
84.1,89.03
82.41,92.62
95.4,90.35
73.41,85.49
73.35,92.77
72.23,90.49
71.17,87.56
72.7,91.21
94.57,92.27
72.42,96.55
95.39,89.72
84.37,89.12
94.3,88.49
84.7,84.22
93.72,91.56
85,83.84
71.85,89.19
84.84,89.17
85.21,92.54
73.9,81.69
85.61,92.75
73.32,88.44
84.22,86.12
74.47,89.97
83.15,90.7
84.41,88.73
83.75,85.59
71.16,93.62
72.18,90.59
72.51,87.88
95,93.65
74.18,91.1
95.83,86.2
94.6,91.86
85.06,84.61
93.14,86.83
72.01,90.45
72.21,91.23
94.57,90.21
72.64,84.2
84.67,92.46
94.65,93.79
95.71,93.5
84.28,88.29
74.34,88.82
94.35,86.95
84.34,90.75
73.87,90.76
72.53,87.69
84.75,92.76
72.56,92.56
72.28,91.97
73.43,87.74
72.27,85.98
95.61,91.96
72.93,94.34
72.74,86.13
72.48,83.38
97.14,94.31
83.67,89.81
83.26,93.53
84.44,92.96
85.89,86.34
84,88.7
84.95,87.5
72.59,90.54
97.03,93.5
73.16,90.17
72.51,83.7
72.65,93.71
83.4,90.01
73.48,88.62
72.87,83.69
74.09,91.12
93.19,90.74
94.57,91.02
84.72,86.77
84.86,87.81
84.14,87.25
96.12,95.36
74.07,87.54
83.37,89.41
82.18,87.33
95.65,92.73
72.22,89.96
94.52,90.22
94.11,92.82
73.36,92.03
74.04,92.36
72.6,83.6
84.13,90.66
74.64,92.9
83.89,91.05
72.47,92.71
86.1,96.36
72.74,93.75
84.11,86.63
72.76,87.51
95.64,89.63
84.45,88.07
94.8,89.76
84.96,93.68
94.8,88.41
73.36,89.14
83.81,89.32
94.93,92.02
95.1,93.11
85.07,89.55
83.52,89.05
96.01,92.8
85.09,92.17
73.35,91.46
74.11,99.8
94.19,90.1
84.93,91.02
73.09,89.75
85.24,91.85
84.87,88.43
95.88,93.02
70.69,95.49
73.54,90.26
85.6,89.8
83.01,88.31
95.28,88.58
93.92,84.89
94.51,89.84
84.58,87.36
72.71,93.77
73.74,90.47
94.48,90.16
94.73,94.2
95.57,84.67
73.96,90.99
71.82,86.83
96.95,88.07
94.81,90.78
85.25,92.68
95.99,87.49
83.42,91.66
83.97,94.38
73.7,87.43
72.44,87.02
72.63,89.96
86.52,91.88
83.64,90
85.19,87.55
94.64,90.35
72.46,90.62
94.7,88.67
71.97,86.64
96.4,91.31
95.81,90.05
94.76,88.91
95.42,88.11
72.67,88.5
73.86,87.4
94.23,86.88
74.15,93.8
92.98,89.28
84.71,84.81
94.78,88.54
84.16,93.18
85.39,88.39
84.39,95.33
72.84,87.66
82.88,87.74
83.28,86.9
71.32,93.49
72.55,88.26
85.27,91.25
72.86,85.06
73.5,88.28
74.76,91.98
94.95,86.16
72.87,90.15
74.85,91.65
72.9,95.34
72.05,91.92
95.11,92.84
95.43,88.94
83.7,88.26
95.39,90.17
83.16,87.32
83.56,93.37
93.3,92.33
74.13,92.89
84.15,93.78
95.73,89.68
94.35,88.27
74.3,91.58
71.88,93.46
74.87,92.58
94.06,92.84
72.09,94.52
84.98,90.89
95.83,93.61
96.09,89.96
72.44,92.37
73.46,85.79
73.48,94.63
74.25,84.68
72.88,90.62
72.29,88.96
73.86,86.52
74.09,91.01
74.61,91
72.78,94.23
94.7,90.41
84.09,91.73
83.34,90.73
83.53,94.4
95.54,93.39
74.2,90.03
83.64,90.37
72.89,95.34
94.63,89.28
70.91,92.57
73.17,87.36
94.61,87.71
71.49,92.59
95.67,91.94
82.73,93.17
73.87,88.1
72.49,93.05
83.01,90.52
95.47,89.86
83.98,95.07
73.34,94.31
74.57,83.25
95.89,91.07
94.98,87.45
93.92,89.1
95.58,88.1
85.21,94.87
72.97,93.72
97.1,91.67
83.72,92.11
86.31,91.37
73.4,92.05
94.93,90.75
96.31,89.46
73.2,91.52
72.98,89.07
84.57,88.82
73.58,89.19
74.24,89.74
85.24,90.02
93.02,97.6
73.37,86.33
82.82,86.78
71.82,90.74
95.59,89.85
72.35,87.81
72.6,90.98
73.04,92.26
94.14,86.54
74.83,88.78
94.99,86.14
95.28,90.25
71.72,90.49
84.5,92.05
73.89,86.74
71.9,90.89
85.26,89.57
93.76,94.18
71.49,90.92
71.72,88.39
83.69,89.31
84.22,88.39
71.86,94.32
72.56,88.47
72.27,85.18
83.67,89.4
94.66,93.43
72.34,91.99
83.36,90.49
85.72,95.36
93.84,88.24
72.93,90.78
72.02,87.38
72.09,87.64
72.9,88.97
96.07,91.94
92.55,96.16
84.18,92.4
93.75,86.79
95.73,89.38
82.83,88.34
85.05,89.12
83.66,93.54
84.48,91.13
84.87,92.97
84,91.81
84.02,87.62
73.98,92.79
94.15,85.95
74.22,92.4
86.36,91.8
84.71,93.3
84.48,85.74
94.69,89.39
83.44,90.05
85.41,90.3
94.82,92.63
94.95,92.1
72.43,91.96
73.92,90.54
71.65,95.03
83.65,89.02
83.95,90.3
94.52,88.27
95.62,89.82
83.2,92.18
72.31,86.32
73.6,90.57
98.07,87.8
73.69,92.37
92.83,84.1
94.88,84.13
71.68,94.87
72.15,89.55
83.38,84.1
82.98,84.94
74.07,89.74
82.83,90.92
82.93,91.01
94.37,93.2
72.43,91
84.71,89.78
94.73,93.14
72.97,96.18
94.61,90.08
72.58,89.28
83.08,93.12
95.05,88.48
72.87,85.55
71.23,89.68
82.97,90.74
73.23,90.44
71.8,86.65
95.14,88.21
83.66,87.96
72.08,92.87
73.39,89.61
97.25,91.95
74.76,91.8
84.53,89.42
73.18,84.06
73.15,91.09
83.84,92.11
84.09,87.74
73.14,89.95
72.64,88.68
95.68,95.1
